CUST_ID,Final_Cluster
C10001,0
C10002,1
C10003,2
C10004,1
C10005,2
C10006,2
C10007,2
C10008,2
C10009,2
C10010,0
C10011,2
C10012,2
C10013,2
C10014,2
C10015,1
C10016,2
C10017,1
C10018,0
C10019,2
C10020,2
C10021,2
C10022,2
C10023,0
C10024,2
C10025,1
C10026,0
C10027,1
C10028,0
C10029,1
C10030,0
C10031,2
C10032,2
C10033,1
C10034,2
C10035,2
C10036,1
C10037,1
C10038,2
C10039,1
C10040,1
C10041,1
C10043,2
C10044,2
C10045,1
C10046,2
C10047,2
C10048,2
C10049,1
C10050,2
C10051,1
C10052,1
C10053,2
C10054,1
C10055,1
C10056,0
C10057,2
C10058,1
C10059,2
C10060,1
C10061,2
C10062,2
C10063,2
C10064,1
C10065,0
C10067,2
C10068,2
C10069,1
C10070,1
C10071,2
C10072,2
C10073,2
C10074,2
C10075,1
C10077,2
C10078,2
C10079,2
C10080,2
C10081,2
C10082,1
C10083,1
C10084,0
C10085,1
C10086,0
C10087,0
C10088,2
C10089,2
C10090,1
C10092,2
C10093,1
C10094,1
C10095,2
C10096,2
C10097,1
C10098,2
C10099,2
C10100,1
C10101,2
C10102,1
C10103,0
C10104,0
C10105,0
C10106,0
C10107,2
C10108,0
C10109,1
C10110,1
C10111,2
C10112,1
C10113,2
C10114,2
C10115,2
C10116,1
C10117,2
C10118,1
C10119,0
C10120,2
C10121,0
C10122,1
C10123,0
C10124,1
C10125,2
C10126,2
C10127,2
C10128,1
C10130,1
C10131,2
C10132,1
C10133,2
C10134,1
C10135,1
C10136,2
C10137,2
C10138,0
C10139,1
C10140,2
C10141,2
C10142,2
C10143,2
C10144,2
C10145,1
C10146,2
C10147,1
C10148,1
C10149,2
C10150,2
C10151,2
C10152,0
C10153,1
C10154,2
C10155,2
C10156,2
C10157,2
C10158,0
C10159,2
C10160,2
C10161,0
C10162,1
C10163,1
C10164,2
C10165,1
C10166,1
C10167,1
C10168,2
C10169,2
C10170,0
C10171,1
C10172,0
C10173,2
C10174,2
C10175,2
C10176,1
C10177,2
C10178,0
C10179,1
C10180,2
C10181,1
C10182,1
C10183,1
C10184,2
C10185,0
C10186,2
C10187,0
C10188,1
C10189,0
C10190,2
C10191,0
C10192,1
C10193,2
C10194,1
C10196,1
C10197,0
C10198,0
C10199,1
C10200,2
C10201,2
C10202,2
C10203,2
C10204,2
C10205,2
C10206,1
C10207,0
C10208,1
C10209,0
C10211,2
C10212,2
C10213,0
C10214,1
C10215,1
C10216,2
C10217,0
C10218,1
C10219,2
C10220,1
C10221,2
C10222,0
C10223,0
C10224,2
C10226,0
C10227,1
C10228,2
C10229,2
C10230,2
C10231,0
C10232,2
C10233,2
C10234,0
C10235,2
C10236,2
C10237,0
C10238,2
C10239,2
C10240,0
C10241,1
C10242,2
C10243,2
C10244,2
C10245,2
C10246,2
C10247,2
C10248,2
C10249,1
C10250,0
C10251,2
C10252,2
C10253,2
C10254,0
C10255,2
C10256,0
C10257,2
C10258,2
C10259,1
C10260,2
C10261,0
C10262,2
C10263,1
C10265,0
C10266,0
C10267,2
C10269,2
C10270,1
C10271,2
C10272,2
C10273,2
C10274,2
C10275,2
C10276,2
C10277,2
C10278,2
C10279,0
C10280,2
C10281,2
C10282,1
C10283,2
C10284,2
C10285,2
C10286,0
C10287,1
C10288,0
C10289,2
C10290,2
C10291,2
C10292,2
C10293,2
C10294,2
C10295,1
C10296,1
C10297,1
C10298,1
C10299,0
C10300,1
C10301,2
C10302,1
C10303,2
C10304,1
C10305,0
C10306,2
C10307,1
C10308,1
C10309,2
C10310,2
C10311,1
C10312,2
C10313,1
C10314,2
C10315,1
C10316,2
C10317,2
C10318,0
C10319,1
C10320,2
C10321,0
C10322,2
C10323,2
C10324,1
C10325,1
C10326,1
C10327,1
C10328,2
C10329,0
C10330,0
C10331,1
C10332,2
C10333,1
C10334,2
C10335,1
C10336,0
C10337,2
C10338,1
C10339,1
C10340,2
C10341,1
C10342,0
C10343,2
C10344,2
C10345,1
C10346,1
C10347,0
C10348,2
C10349,0
C10350,2
C10351,1
C10352,1
C10353,1
C10354,0
C10355,2
C10356,0
C10357,2
C10358,2
C10359,2
C10360,0
C10361,1
C10362,2
C10364,2
C10365,0
C10366,0
C10367,2
C10368,0
C10369,1
C10370,1
C10371,1
C10372,2
C10373,1
C10374,0
C10375,2
C10376,1
C10377,2
C10378,0
C10379,2
C10380,1
C10381,1
C10382,2
C10383,2
C10384,1
C10385,2
C10386,2
C10387,0
C10388,2
C10389,0
C10390,2
C10391,1
C10392,1
C10393,1
C10395,1
C10396,0
C10397,2
C10398,1
C10399,2
C10400,1
C10402,0
C10403,2
C10404,2
C10405,2
C10406,2
C10407,2
C10408,0
C10409,1
C10410,2
C10411,1
C10412,1
C10413,2
C10414,2
C10415,2
C10416,2
C10417,2
C10419,1
C10420,2
C10421,0
C10422,1
C10423,1
C10424,0
C10425,1
C10426,2
C10427,0
C10428,1
C10429,2
C10430,2
C10431,2
C10432,2
C10433,0
C10434,2
C10435,2
C10436,1
C10437,1
C10438,2
C10439,2
C10441,2
C10442,1
C10443,1
C10444,1
C10445,1
C10446,1
C10447,2
C10448,2
C10449,1
C10450,1
C10451,1
C10452,2
C10453,2
C10454,1
C10455,1
C10456,0
C10457,1
C10458,1
C10459,2
C10460,2
C10461,2
C10462,2
C10463,0
C10466,1
C10467,0
C10468,2
C10469,2
C10470,2
C10471,2
C10472,2
C10473,0
C10474,0
C10475,2
C10476,2
C10477,2
C10478,2
C10480,2
C10481,2
C10482,2
C10483,1
C10484,1
C10485,2
C10486,0
C10487,2
C10488,0
C10489,1
C10490,1
C10491,2
C10492,1
C10493,2
C10494,2
C10495,2
C10497,2
C10498,1
C10501,2
C10502,0
C10503,2
C10504,1
C10505,1
C10506,2
C10507,2
C10508,1
C10509,2
C10510,1
C10511,2
C10512,2
C10513,1
C10514,2
C10515,1
C10516,2
C10517,1
C10518,1
C10519,1
C10520,0
C10521,2
C10522,2
C10523,2
C10524,0
C10525,2
C10526,0
C10527,0
C10528,2
C10529,2
C10530,1
C10532,2
C10533,0
C10534,2
C10535,1
C10536,2
C10537,2
C10538,0
C10539,1
C10540,1
C10542,0
C10543,2
C10544,1
C10545,2
C10546,1
C10547,2
C10548,2
C10549,1
C10550,1
C10551,1
C10552,0
C10553,2
C10554,0
C10555,2
C10556,2
C10557,2
C10558,2
C10559,0
C10560,2
C10561,1
C10562,0
C10563,2
C10564,2
C10565,0
C10566,1
C10567,0
C10568,2
C10569,2
C10570,2
C10571,0
C10572,2
C10573,1
C10574,2
C10575,2
C10576,1
C10577,1
C10578,1
C10579,2
C10580,1
C10581,1
C10582,1
C10583,1
C10584,2
C10585,1
C10586,2
C10587,2
C10588,1
C10589,2
C10590,0
C10591,2
C10592,0
C10593,1
C10594,2
C10595,1
C10596,1
C10597,0
C10598,2
C10599,2
C10600,1
C10601,1
C10602,2
C10603,0
C10604,1
C10605,2
C10606,1
C10607,1
C10608,2
C10609,2
C10610,0
C10611,2
C10612,0
C10613,2
C10615,2
C10616,2
C10617,2
C10618,1
C10619,1
C10620,0
C10621,1
C10622,2
C10623,2
C10624,2
C10625,1
C10626,1
C10627,1
C10628,2
C10629,2
C10630,0
C10631,2
C10632,0
C10633,2
C10634,2
C10635,2
C10636,1
C10637,0
C10638,2
C10639,1
C10640,1
C10641,2
C10642,2
C10643,0
C10644,2
C10645,2
C10646,0
C10647,2
C10648,0
C10649,2
C10650,2
C10651,2
C10652,2
C10653,2
C10654,2
C10655,2
C10656,1
C10657,0
C10658,2
C10659,2
C10660,0
C10661,1
C10662,1
C10663,2
C10665,2
C10666,2
C10667,1
C10668,2
C10669,2
C10670,2
C10671,2
C10672,1
C10673,2
C10674,2
C10675,1
C10676,2
C10677,2
C10678,2
C10679,0
C10680,0
C10681,2
C10682,2
C10683,0
C10684,2
C10685,0
C10686,2
C10688,2
C10689,2
C10690,1
C10691,2
C10692,0
C10693,2
C10694,0
C10695,2
C10696,1
C10697,1
C10698,1
C10699,2
C10700,2
C10701,1
C10702,2
C10703,1
C10704,2
C10705,2
C10706,1
C10707,0
C10708,1
C10709,2
C10710,2
C10711,2
C10712,1
C10713,0
C10714,2
C10715,2
C10716,2
C10717,2
C10718,2
C10719,2
C10720,2
C10721,2
C10722,2
C10723,1
C10724,2
C10725,2
C10726,2
C10727,1
C10728,1
C10729,1
C10730,2
C10731,2
C10732,2
C10733,1
C10734,1
C10735,2
C10736,2
C10737,1
C10738,1
C10739,2
C10740,0
C10741,2
C10742,1
C10743,1
C10744,2
C10745,2
C10746,0
C10747,2
C10748,1
C10749,1
C10750,1
C10751,1
C10752,2
C10753,2
C10754,1
C10755,2
C10756,2
C10757,2
C10758,1
C10759,1
C10760,2
C10761,2
C10762,1
C10763,0
C10764,0
C10765,2
C10766,1
C10767,1
C10768,0
C10769,1
C10770,1
C10771,1
C10772,2
C10773,2
C10774,2
C10775,2
C10776,2
C10777,1
C10779,2
C10780,2
C10781,1
C10782,1
C10783,1
C10784,2
C10785,1
C10786,2
C10787,2
C10788,1
C10789,0
C10790,1
C10791,1
C10792,0
C10793,1
C10794,0
C10795,1
C10796,1
C10797,2
C10798,2
C10799,2
C10800,1
C10801,2
C10803,2
C10804,2
C10805,2
C10806,2
C10807,1
C10808,1
C10809,1
C10810,1
C10811,2
C10812,2
C10813,0
C10814,0
C10815,1
C10816,1
C10817,1
C10818,1
C10819,2
C10820,0
C10821,1
C10822,1
C10823,0
C10824,2
C10825,1
C10826,0
C10827,2
C10828,0
C10829,1
C10830,2
C10831,0
C10832,1
C10833,2
C10834,1
C10835,2
C10836,2
C10837,2
C10838,2
C10839,1
C10840,2
C10841,1
C10843,1
C10844,0
C10845,1
C10846,2
C10847,1
C10848,2
C10849,1
C10850,1
C10852,2
C10853,2
C10854,2
C10855,2
C10856,1
C10857,1
C10858,2
C10859,2
C10860,1
C10861,1
C10862,1
C10863,1
C10864,2
C10865,2
C10866,2
C10867,2
C10868,0
C10869,2
C10870,1
C10871,2
C10872,1
C10873,1
C10874,2
C10875,2
C10876,1
C10877,2
C10878,0
C10879,1
C10880,0
C10881,2
C10882,1
C10883,1
C10884,1
C10885,2
C10886,1
C10887,2
C10888,2
C10889,1
C10890,2
C10891,0
C10892,2
C10893,2
C10894,2
C10895,2
C10896,1
C10897,1
C10898,1
C10899,1
C10900,1
C10901,2
C10902,2
C10903,1
C10904,1
C10905,2
C10906,1
C10907,0
C10908,2
C10909,1
C10910,1
C10911,1
C10912,0
C10913,1
C10914,1
C10915,2
C10916,2
C10917,2
C10918,2
C10919,2
C10920,2
C10921,2
C10922,2
C10923,1
C10924,1
C10925,2
C10926,2
C10927,2
C10928,0
C10929,1
C10930,0
C10931,1
C10932,1
C10933,1
C10934,1
C10935,1
C10936,2
C10937,2
C10939,2
C10940,2
C10941,1
C10942,1
C10943,0
C10944,0
C10945,2
C10946,0
C10947,2
C10949,2
C10950,2
C10951,0
C10952,2
C10953,0
C10954,2
C10955,1
C10956,2
C10957,1
C10958,0
C10959,2
C10960,2
C10961,1
C10962,2
C10963,1
C10965,2
C10966,2
C10967,1
C10968,2
C10969,2
C10970,2
C10971,1
C10972,2
C10973,2
C10974,0
C10975,2
C10976,1
C10977,1
C10978,2
C10979,1
C10980,0
C10981,0
C10982,0
C10983,2
C10984,2
C10985,2
C10986,2
C10987,2
C10988,1
C10989,0
C10990,1
C10991,2
C10992,0
C10993,1
C10994,2
C10995,1
C10996,1
C10997,2
C10998,0
C10999,2
C11000,2
C11001,0
C11002,2
C11003,1
C11004,2
C11005,2
C11006,1
C11007,1
C11008,2
C11009,2
C11010,2
C11011,1
C11012,1
C11013,2
C11014,0
C11015,2
C11016,2
C11017,1
C11018,1
C11019,2
C11020,2
C11021,2
C11022,0
C11023,1
C11024,2
C11025,2
C11026,1
C11027,2
C11028,2
C11029,2
C11030,0
C11031,1
C11032,2
C11033,2
C11034,2
C11035,2
C11036,0
C11038,1
C11039,1
C11040,2
C11041,0
C11042,1
C11043,2
C11044,1
C11045,2
C11046,2
