CUST_ID,KMeans_Cluster
C10001,8
C10002,5
C10003,2
C10004,2
C10005,2
C10006,3
C10007,0
C10008,3
C10009,2
C10010,2
C10011,3
C10012,2
C10013,6
C10014,6
C10015,5
C10016,1
C10017,5
C10018,3
C10019,6
C10020,3
C10021,3
C10022,1
C10023,3
C10024,1
C10025,5
C10026,3
C10027,9
C10028,3
C10029,1
C10030,3
C10031,1
C10032,1
C10033,9
C10034,2
C10035,3
C10036,5
C10037,5
C10038,1
C10039,9
C10040,9
C10041,5
C10043,1
C10044,2
C10045,5
C10046,6
C10047,1
C10048,5
C10049,5
C10050,0
C10051,9
C10052,1
C10053,6
C10054,5
C10055,9
C10056,8
C10057,2
C10058,9
C10059,6
C10060,5
C10061,1
C10062,2
C10063,2
C10064,5
C10065,8
C10067,1
C10068,2
C10069,5
C10070,5
C10071,2
C10072,2
C10073,1
C10074,1
C10075,5
C10077,2
C10078,2
C10079,6
C10080,2
C10081,3
C10082,5
C10083,9
C10084,3
C10085,5
C10086,8
C10087,4
C10088,6
C10089,0
C10090,1
C10092,1
C10093,9
C10094,5
C10095,1
C10096,1
C10097,9
C10098,2
C10099,2
C10100,5
C10101,2
C10102,5
C10103,4
C10104,8
C10105,8
C10106,3
C10107,6
C10108,8
C10109,5
C10110,9
C10111,3
C10112,5
C10113,1
C10114,1
C10115,6
C10116,5
C10117,1
C10118,5
C10119,0
C10120,6
C10121,3
C10122,5
C10123,4
C10124,5
C10125,1
C10126,2
C10127,6
C10128,5
C10130,5
C10131,6
C10132,5
C10133,6
C10134,9
C10135,5
C10136,2
C10137,6
C10138,3
C10139,9
C10140,3
C10141,2
C10142,6
C10143,1
C10144,6
C10145,9
C10146,2
C10147,5
C10148,5
C10149,6
C10150,6
C10151,2
C10152,3
C10153,5
C10154,3
C10155,1
C10156,1
C10157,6
C10158,4
C10159,1
C10160,0
C10161,3
C10162,1
C10163,5
C10164,6
C10165,9
C10166,5
C10167,5
C10168,3
C10169,2
C10170,3
C10171,5
C10172,3
C10173,0
C10174,3
C10175,6
C10176,5
C10177,0
C10178,8
C10179,5
C10180,1
C10181,5
C10182,9
C10183,5
C10184,0
C10185,8
C10186,6
C10187,8
C10188,1
C10189,8
C10190,6
C10191,3
C10192,5
C10193,3
C10194,9
C10196,9
C10197,2
C10198,2
C10199,8
C10200,3
C10201,2
C10202,6
C10203,0
C10204,0
C10205,2
C10206,1
C10207,2
C10208,9
C10209,4
C10211,1
C10212,6
C10213,8
C10214,9
C10215,9
C10216,1
C10217,8
C10218,1
C10219,2
C10220,5
C10221,2
C10222,3
C10223,8
C10224,1
C10226,8
C10227,9
C10228,6
C10229,6
C10230,6
C10231,2
C10232,6
C10233,2
C10234,2
C10235,6
C10236,6
C10237,8
C10238,6
C10239,6
C10240,3
C10241,9
C10242,2
C10243,6
C10244,2
C10245,1
C10246,1
C10247,3
C10248,3
C10249,9
C10250,0
C10251,6
C10252,2
C10253,6
C10254,8
C10255,6
C10256,3
C10257,1
C10258,6
C10259,9
C10260,3
C10261,3
C10262,0
C10263,5
C10265,8
C10266,8
C10267,1
C10269,6
C10270,5
C10271,2
C10272,6
C10273,6
C10274,1
C10275,3
C10276,6
C10277,6
C10278,2
C10279,2
C10280,6
C10281,0
C10282,9
C10283,0
C10284,6
C10285,1
C10286,8
C10287,9
C10288,8
C10289,3
C10290,1
C10291,6
C10292,3
C10293,2
C10294,6
C10295,5
C10296,5
C10297,5
C10298,9
C10299,2
C10300,5
C10301,0
C10302,9
C10303,2
C10304,5
C10305,3
C10306,0
C10307,9
C10308,5
C10309,2
C10310,0
C10311,9
C10312,6
C10313,5
C10314,2
C10315,5
C10316,0
C10317,0
C10318,0
C10319,5
C10320,2
C10321,0
C10322,1
C10323,6
C10324,5
C10325,5
C10326,5
C10327,5
C10328,2
C10329,3
C10330,8
C10331,5
C10332,1
C10333,5
C10334,2
C10335,5
C10336,3
C10337,6
C10338,9
C10339,5
C10340,0
C10341,5
C10342,0
C10343,6
C10344,0
C10345,5
C10346,1
C10347,8
C10348,0
C10349,4
C10350,3
C10351,9
C10352,9
C10353,9
C10354,2
C10355,0
C10356,8
C10357,2
C10358,6
C10359,1
C10360,4
C10361,5
C10362,6
C10364,1
C10365,8
C10366,8
C10367,6
C10368,0
C10369,1
C10370,5
C10371,5
C10372,6
C10373,5
C10374,2
C10375,1
C10376,9
C10377,3
C10378,2
C10379,3
C10380,5
C10381,5
C10382,0
C10383,1
C10384,5
C10385,6
C10386,3
C10387,8
C10388,6
C10389,4
C10390,2
C10391,5
C10392,5
C10393,5
C10395,9
C10396,8
C10397,0
C10398,9
C10399,2
C10400,5
C10402,4
C10403,3
C10404,2
C10405,2
C10406,6
C10407,1
C10408,3
C10409,5
C10410,3
C10411,9
C10412,5
C10413,1
C10414,6
C10415,3
C10416,1
C10417,6
C10419,5
C10420,6
C10421,8
C10422,5
C10423,5
C10424,4
C10425,5
C10426,6
C10427,8
C10428,9
C10429,3
C10430,6
C10431,2
C10432,6
C10433,6
C10434,1
C10435,1
C10436,5
C10437,5
C10438,6
C10439,1
C10441,1
C10442,5
C10443,5
C10444,9
C10445,5
C10446,5
C10447,1
C10448,2
C10449,5
C10450,5
C10451,9
C10452,1
C10453,6
C10454,5
C10455,9
C10456,8
C10457,5
C10458,5
